Identifier,Titel,Kurzform,URL,Precision,Beispiele
db:nyse,New York Stack Exchange,NYSE,https://www.nyse.com/,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/30078 ; https://mpra.ub.uni-muenchen.de/id/eprint/25924 ; http://dx.doi.org/10.1093/rof/rfu052 ; http://dx.doi.org/10.1093/rfs/hhu092 ; http://dx.doi.org/10.1093/rof/rft055
db:eulfs,Eurostat LFS,Eurostat LFS,http://ec.europa.eu/eurostat/web/lfs/data/main-tables,hoch,http://doi.org/10.17877/DE290R-1856
db:toyo_keizai,Toyo Keizai Corporate Social Responsibility Database,Toyo Keizai,http://dbs.toyokeizai.net/en/,hoch,http://doi.org/10.1080/07474938.2014.977086 ; https://mpra.ub.uni-muenchen.de/id/eprint/27721
db:topix,Tokyo Stock Price Index,TOPIX,http://www.bloomberg.com/quote/TPX:IND,hoch,http://doi.org/10.1080/07474938.2014.977086
db:dax30,Deutscher Aktienindex DAX,DAX,http://www.bloomberg.com/quote/DAX:IND,hoch,http://doi.org/10.1016/j.eswa.2015.04.056
db:nasdaq,NASDAQ,Nasdaq,http://www.bloomberg.com/quote/NASDAQ:IND,hoch,http://doi.org/10.1016/j.eswa.2015.04.056 ; https://mpra.ub.uni-muenchen.de/id/eprint/25924 ; http://dx.doi.org/10.1093/rof/rfu052 ; http://dx.doi.org/10.1093/rfs/hhu092 ; http://dx.doi.org/10.1093/rof/rft055
db:amadeus,BvD Amadeus,Amadeus,http://www.bvdinfo.com/de-de/our-products/company-information/international-products/amadeus,mittel,https://mpra.ub.uni-muenchen.de/id/eprint/28485 ; https://mpra.ub.uni-muenchen.de/id/eprint/33602
db:wdi,World Bank WDI,WDI,http://data.worldbank.org/data-catalog/world-development-indicators,mittel,https://mpra.ub.uni-muenchen.de/id/eprint/28485 ; http://dx.doi.org/10.5089/9781455254323.001 ; http://www.jstor.org/stable/40985792
db:worldbank,World Bank Open Data,,http://data.worldbank.org/,gering,https://mpra.ub.uni-muenchen.de/id/eprint/28485 ; http://dx.doi.org/10.1016/j.jimonfin.2015.06.001 ; http://dx.doi.org/10.1016/j.jbankfin.2013.02.004
db:geodist,CEPII GeoDist,GeoDist,http://www.cepii.fr/cepii/en/bdd_modele/bdd.asp,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/25631
db:trains,World Bank UNCTAD - Trade Analysis and Information System (TRAINS),TRAINS,http://databank.worldbank.org/data/reports.aspx?source=UNCTAD-~-Trade-Analysis-Information-System-(TRAINS),gering,https://mpra.ub.uni-muenchen.de/id/eprint/28485 ; http://dx.doi.org/10.1016/j.regsciurbeco.2012.07.011
db:wfe,World Federation of Exchanges,WFE,http://www.world-exchanges.org/home/index.php/statistics/ipo-database,gering,https://mpra.ub.uni-muenchen.de/id/eprint/20085
db:euklems,EU KLEMS,EU KLEMS,http://www.euklems.net/,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/37965
db:maddison,Maddison Project Database,Maddison,http://www.ggdc.net/maddison/maddison-project/home.htm,gering,https://mpra.ub.uni-muenchen.de/id/eprint/71488
db:oecd,OECD.Stat,OECD.Stat,http://stats.oecd.org/,,https://mpra.ub.uni-muenchen.de/id/eprint/34343 ; http://dx.doi.org/10.1111/j.1467-9396.2010.00937.x ; https://mpra.ub.uni-muenchen.de/id/eprint/56650
db:oecdeo,OECD Economic Outlook,OECD-EO,https://data.oecd.org/,,https://mpra.ub.uni-muenchen.de/id/eprint/31727 ; https://mpra.ub.uni-muenchen.de/id/eprint/15841 ; http://dx.doi.org/10.1111/jofi.12206 ; http://dx.doi.org/10.1016/j.jimonfin.2015.06.001
db:worldscope,Thomson Reuters WorldScope,WorldScope,https://www.rimes.com/data/thomson-reuters-worldscope/,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/35221 ; https://mpra.ub.uni-muenchen.de/id/eprint/6040 ; https://mpra.ub.uni-muenchen.de/id/eprint/38640 ; http://dx.doi.org/10.1093/rfs/hhu092
db:crsp,CRSP US Stock Databases,CRSP,http://www.crsp.com/products/research-products/crsp-us-stock-databases#files,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/14235 ; https://mpra.ub.uni-muenchen.de/id/eprint/25924 ; https://mpra.ub.uni-muenchen.de/id/eprint/25924 ; http:dx.doi.org/10.1093/rfs/hhu094 ; http://dx.doi.org/10.1093/rfs/hhu092 ; http://dx.doi.org/10.1093/rof/rft055
db:compustat,Compustat,Compustat,http://www.spcapitaliq.com/our-capabilities/our-capabilities.html?product=compustat-research-insight,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/14235 ; https://mpra.ub.uni-muenchen.de/id/eprint/51568 ; http://dx.doi.org/10.1093/rfs/hhu145 ; http://dx.doi.org/10.1093/rof/rft055
db:wiod,World Input Output Database,WIOD,http://www.wiod.org/new_site/home.htm,,https://mpra.ub.uni-muenchen.de/id/eprint/59125
db:ameco,Annual macro-economics database AMECO,AMECO,http://ec.europa.eu/economy_finance/db_indicators/ameco/index_en.htm,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/25705 ; http://dx.doi.org/10.1016/j.jimonfin.2015.06.001
db:gfs,IMF Government Finance Statistics,GFS,http://www.imf.org/en/Data,,https://mpra.ub.uni-muenchen.de/id/eprint/15841
db:osiris,BvD Osiris,Osiris,http://www.bvdinfo.com/de-de/our-products/company-information/international-products/osiris,,https://mpra.ub.uni-muenchen.de/id/eprint/4755
db:euromonitor,EuroMonitor,EuroMonitor,http://www.euromonitor.com/,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/3516
db:weo,IMF World Economic Outlook,WEO,http://www.imf.org/external/ns/cs.aspx?id=28,,http://dx.doi.org/10.5089/9781455254323.001
db:ifs,IMF International Financial Statistics,IFS,http://data.imf.org/?sk=5DABAFF2-C5AD-4D27-A175-1253419C02D1,,http://dx.doi.org/10.5089/9781455254323.001 ; http://dx.doi.org/10.1016/j.iref.2014.09.008 ; http://dx.doi.org/10.1111/j.1467-9396.2010.00937.x ; http://dx.doi.org/10.1016/j.econmod.2011.07.006 ; http://www.jstor.org/stable/40985792
db:fdi,UNCTAD Foreign Direct Investment,FDI database,http://unctadstat.unctad.org/wds,,http://dx.doi.org/10.5089/9781455254323.001
db:gfdd,Global Financial Development Database,GFDD,http://data.worldbank.org/data-catalog/global-financial-development,,
db:fred,St. Louis FED FRED,FRED ; St. Louis FED,https://fred.stlouisfed.org/,,http://dx.doi.org/10.1016/j.econmod.2015.08.021 ; https://mpra.ub.uni-muenchen.de/id/eprint/56650
db:sp100,S&P 100,S&P100,http://us.spindices.com/indices/equity/sp-100,hoch,
db:factset,FactSet,FactSet,http://www.factset.com/data,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/71353
db:msci,MSCI Indexes,MSCI,https://www.msci.com/indexes,,https://dx.doi.org/10.1016/j.econmod.2015.04.010 ; http://dx.doi.org/10.1016/j.econmod.2011.07.006
db:erd,European Regional Database,ERD,http://www.eui.eu/Research/Library/ResearchGuides/Economics/Statistics/DataPortal/ERD.aspx,,https://dx.doi.org/10.1093/jeg/lbu055
db:hmda,Home Mortgage Disclosure Act (HMDA) Database,HMDA,https://www.ffiec.gov/hmda/,,http://dx.doi.org/10.1016/j.jfineco.2014.09.009 
db:fisd,Mergend Fixed Income Securities Database (FISD),FISD,http://www.mergent.com/mergent-solutions/fixed-income-data,,http://dx.doi.org/10.1093/rfs/hhu094
db:trace,FINRA TRACE,TRACE,http://www.finra.org/industry/trace,mittel,http://dx.doi.org/10.1093/rfs/hhu094
db:comtrade,UN Comtrade Database,Comtrade,http://comtrade.un.org/,hoch,http://dx.doi.org/10.1093/rfs/hhu094
db:bitsel,BITSel Index,BITSel,http://www.cuhk.edu.hk/law/proj/BITSel/,hoch,http://dx.doi.org/10.1093/jiel/jgv008
